שם ספר,הוצאה,תיאור,כמות,מחיר קניה,מחיר מכירה,מחיר אונליין
לקוטי הלכות ד"כ ,כל כתבי רבינו,,2,100,120,120
הליכות קודש- אלול-ימים נוראים-סוכות,מאירת עיניים,,3,40,45,45
השתפכות הנפש ומשיבת נפש,כל כתבי רבינו,,10,10,15,15
ספורי מעשיות,נחלת צבי,,1,65,75,75
תולדות שמואל,קרן רבי ישראל דב אודסר,,1,35,40,40
חיי מוהר"ן,נקודה טובה,,1,45,52,52
הפגישה-מהדורה מנוקדת,מכון חיים טובים,הדרך ליצירת קשר אמיתי בין האדם לבוראו באמצעות פגישה יומית,4,25,30,30
זמירון לשבת קודש 'נהר המטהר',כל כתבי רבינו,,3,10,18,18
קונטרס שמע בני-חינוך,מאירת עיניים,,1,10,10,10
לקוטי מוהר"ן-כיס-ט"ו כרכים-כריכה רכה,תורת הנצח,,1,40,50,50
כל כתבי רבינו,כל כתבי רבינו,,2,20,25,25
כתבי אנשי שלומינו,כל כתבי רבינו,,2,20,25,25
ספורי מעשיות  עם רמזים 'עוטה אור',כל כתבי רבינו,,2,30,40,40
אוצר היראה,כל כתבי רבינו,,2,30,45,45
שיחות הר"ן,כל כתבי רבינו,,1,10,15,15
ספורי מעשיות עם השתפכות הנפש ומשיבת נפש,כל כתבי רבינו,,9,10,15,15
עשירות דקדושה בפרשה,כל כתבי רבינו,,8,20,25,25
תורות עצות ותפילות-קטן,כל כתבי רבינו,,16,10,15,15
כל כתבי רבינו-קטן,כל כתבי רבינו,,12,10,15,15
כתבי אנשי שלומינו-קטן,כל כתבי רבינו,,19,10,15,15
לקוטי מוהר"ן-קטן,כל כתבי רבינו,,2,10,15,15
ימי מוהרנ"ת,קרן רבי ישראל דב אודסר,,1,35,40,40
מכתבי רבי נתן ב"ר יהודה,קרן רבי ישראל דב אודסר,,1,35,40,40
לקוטי עצות,קרן רבי ישראל דב אודסר,,1,35,40,40
עצות המבוארות,קרן רבי ישראל דב אודסר,,1,35,40,40
מכתבי שמואל,קרן רבי ישראל דב אודסר,,1,35,40,40
חיי מוהר"ן-קטן,קרן רבי ישראל דב אודסר,,1,30,35,35
עצות המבוארות-קטן,קרן רבי ישראל דב אודסר,,1,30,35,35
תפילות לזמני השנה-קטן,קרן רבי ישראל דב אודסר,,1,30,35,35
ימי מוהרנ"ת-קטן,קרן רבי ישראל דב אודסר,,1,30,35,35
שבחי הר"ן ושיחות הר"ן-קטן,קרן רבי ישראל דב אודסר,,1,30,35,35
לקוטי עצות-קטן,קרן רבי ישראל דב אודסר,,1,30,35,35
כתבי רבי נחמן מברסלב-תורות ותפילות-ד"כ-קטן,קרן רבי ישראל דב אודסר,,1,90,100,100
ימי מוהרנ"ת וימי התלאות,כתבי הנחל,,2,25,30,30
שבחי הר"ן ושיחות הר"ן,כתבי הנחל,,1,20,25,25
עלים לתרופה עם הוספות מכתב יד,כתבי הנחל,,1,25,35,35
משיבת נפש והשתפכות הנפש-כיס-כריכה קשה,ברסלבר,,8,7,10,10
חיי מוהר"ן-כיס-כריכה קשה,ברסלבר,,7,7,10,10
שיחות הר"ן-כיס-כריכה קשה,ברסלבר,,7,5,7,7
ספר המידות-כיס-כריכה קשה,ברסלבר,,3,5,7,7
כוכבי אור עם מפתחות-כיס-כריכה קשה,ברסלבר,,5,7,10,10
משיבת נפש-כיס-כריכה רכה,ברסלבר,,5,3,5,5
ספורי מעשיות-כיס-כריכה רכה,ברסלבר,,9,3,5,5
שער אפרים-ב"כ,משך הנחל,,1,80,110,110
יריעות שלמה,משך הנחל,,1,40,55,55
תורת יקותיאל,משך הנחל,,2,25,35,35
מטעמים-מועדי השנה-ב"כ,מכון חיים טובים,טעימות ממשנתו הבהירה של רבי נחמן מברסלב,2,110,120,120
שערי הישועות-קטן,מכון לקוטי הנחל,,5,12,18,18
תיקון הכללי עם פירוש יסוד צדיק+לקט תפילות-כריכה רכה,מכון לקוטי הנחל,,8,5,10,10
תיקון הכללי עם פירוש יסוד צדיק-כיס-כריכה רכה,מכון לקוטי הנחל,,5,1,2,2
תיקון הכללי+תיקון חצות מנחה וערבית ברהמ"ז ועוד-מהדורת כיס-כריכה רכה,מכון לקוטי הנחל,,5,5,8,8
אומנות אבותינו,משיבת נפש ב"ב,,1,20,25,25
משיב נפשי,משיבת נפש ב"ב,,2,20,25,25
פניני השתפכות הנפש, ,,1,20,25,25
לחיות בהווה, ,,1,20,25,25
דברי חכמים בנחת-חלק א',נזר ישראל,,1,25,30,30
חיי מוהר"ן המהודר עם הוספות מכל ספרי ברסלב-ב"כ, ,,1,90,110,110
אמרי ישראל-ב"כ, ,שיחות חיזוק והתעוררות באמונה ע"פ פרשיות השבוע והמועדים שנאמרו מפי הרה"ח ר' ישראל מאיר ברנר שליט"א,1,100,120,120
ספורי מעשיות-אורח מישור, ,,1,45,55,55
בנתיבות הנחל, ,מאמרים במשנת ברסלב-שו"ת ופרקי מחקר הסטוריים-שיחות וסיפורים בלתי ידועים,1,45,52,52
אוסף אמרים-אמונה ותפילה, ,,1,42,48,48
יום מחמדים-על קדושת השבת, ,,1,42,48,48
ספר תהילים 'ישועות אשא', ,,1,50,55,55
אגרת הקדושה, ,יסודות חינוך הבנים לקדושה,1,50,55,55
להודיע לדורות, ,ליקוט של תורות ותפילות לאבות על בנים ע"פ תורתו של רבי נחמן מברסלב,1,40,45,45
